strain	virus	isolate_id	date	region	country	division	location	host	authors
A/Americangreen-wingedteal/Idaho/AH0006121/2015	avian_flu	EPI953100	2015-01-11	north_america	usa	idaho	idaho	anascarolinensis	other_database_import
A/Anascrecca/Spain/1460	avian_flu	EPI284338	2008-01-26	europe	spain	spain	spain	anascrecca	other_database_import
A/Anhui/1-BALF_RG1/2013	avian_flu	EPI620059	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG17/2013	avian_flu	EPI620127	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG18/2013	avian_flu	EPI620134	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG19/2013	avian_flu	EPI620141	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG2/2013	avian_flu	EPI620024	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG20/2013	avian_flu	EPI620148	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG21/2013	avian_flu	EPI620103	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG29/2013	avian_flu	EPI620110	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG3/2013	avian_flu	EPI620031	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG31/2013	avian_flu	EPI620117	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG32/2013	avian_flu	EPI620124	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG33/2013	avian_flu	EPI619994	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG4/2013	avian_flu	EPI620038	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG40/2013	avian_flu	EPI620070	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG41/2013	avian_flu	EPI620077	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG42/2013	avian_flu	EPI620084	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG43/2013	avian_flu	EPI620091	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG44/2013	avian_flu	EPI620098	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG45/2013	avian_flu	EPI620052	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG5/2013	avian_flu	EPI620045	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG6/2013	avian_flu	EPI620152	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG7/2013	avian_flu	EPI620159	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG8/2013	avian_flu	EPI620166	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-BALF_RG9/2013	avian_flu	EPI620173	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-DEWH730/2013	avian_flu	EPI531124	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-JCVI1_RG1/2013	avian_flu	EPI620184	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-JCVI1_RG2/2013	avian_flu	EPI620191	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-JCVI1_RG3/2013	avian_flu	EPI620198	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG01/2013	avian_flu	EPI636679	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
