strain	virus	isolate_id	date	region	country	division	location	host	authors
A/Anhui/1-YK_RG02/2013	avian_flu	EPI636686	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG03/2013	avian_flu	EPI636693	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG04/2013	avian_flu	EPI636700	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG05/2013	avian_flu	EPI636707	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG06/2013	avian_flu	EPI636714	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG07/2013	avian_flu	EPI636721	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG08/2013	avian_flu	EPI636728	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG09/2013	avian_flu	EPI636736	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG10/2013	avian_flu	EPI636744	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG100/2013	avian_flu	EPI637396	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG101/2013	avian_flu	EPI637403	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG102/2013	avian_flu	EPI637410	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG103/2013	avian_flu	EPI637417	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG104/2013	avian_flu	EPI637424	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG105/2013	avian_flu	EPI637431	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG106/2013	avian_flu	EPI637438	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG107/2013	avian_flu	EPI637445	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG108/2013	avian_flu	EPI637452	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG109/2013	avian_flu	EPI637459	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG110/2013	avian_flu	EPI637466	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG111/2013	avian_flu	EPI637473	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG112/2013	avian_flu	EPI637480	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG113/2013	avian_flu	EPI637492	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG114/2013	avian_flu	EPI637499	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG115/2013	avian_flu	EPI637506	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG116/2013	avian_flu	EPI637513	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG117/2013	avian_flu	EPI637520	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG118/2013	avian_flu	EPI637527	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG119/2013	avian_flu	EPI637534	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG12/2013	avian_flu	EPI636751	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG120/2013	avian_flu	EPI637541	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG121/2013	avian_flu	EPI637548	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG122/2013	avian_flu	EPI637555	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG123/2013	avian_flu	EPI637562	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG124/2013	avian_flu	EPI637569	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG125/2013	avian_flu	EPI637576	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG126/2013	avian_flu	EPI637583	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG127/2013	avian_flu	EPI637590	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG128/2013	avian_flu	EPI637597	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG129/2013	avian_flu	EPI637604	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG13/2013	avian_flu	EPI636758	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG130/2013	avian_flu	EPI637611	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG131/2013	avian_flu	EPI637618	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG132/2013	avian_flu	EPI637625	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG133/2013	avian_flu	EPI637632	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG134/2013	avian_flu	EPI637639	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG135/2013	avian_flu	EPI637646	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG136/2013	avian_flu	EPI637653	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG137/2013	avian_flu	EPI637660	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG138/2013	avian_flu	EPI637667	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG139/2013	avian_flu	EPI637674	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG14/2013	avian_flu	EPI636765	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG140/2013	avian_flu	EPI637681	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG141/2013	avian_flu	EPI637688	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG142/2013	avian_flu	EPI637695	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG143/2013	avian_flu	EPI637702	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG144/2013	avian_flu	EPI637709	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG145/2013	avian_flu	EPI637716	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG146/2013	avian_flu	EPI637723	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG147/2013	avian_flu	EPI637730	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG148/2013	avian_flu	EPI637737	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG149/2013	avian_flu	EPI637744	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG15/2013	avian_flu	EPI636772	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG150/2013	avian_flu	EPI637751	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG151/2013	avian_flu	EPI637758	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG152/2013	avian_flu	EPI637765	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG153/2013	avian_flu	EPI637772	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG154/2013	avian_flu	EPI637779	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG155/2013	avian_flu	EPI637786	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG156/2013	avian_flu	EPI637793	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG157/2013	avian_flu	EPI637800	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG158/2013	avian_flu	EPI637807	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG159/2013	avian_flu	EPI637814	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG16/2013	avian_flu	EPI636779	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG160/2013	avian_flu	EPI637821	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG161/2013	avian_flu	EPI637828	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG162/2013	avian_flu	EPI637835	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG163/2013	avian_flu	EPI637842	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG164/2013	avian_flu	EPI637849	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG165/2013	avian_flu	EPI637856	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG166/2013	avian_flu	EPI637863	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG167/2013	avian_flu	EPI637870	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG168/2013	avian_flu	EPI637877	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG169/2013	avian_flu	EPI637884	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG17/2013	avian_flu	EPI636786	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG170/2013	avian_flu	EPI637891	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG171/2013	avian_flu	EPI637898	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG172/2013	avian_flu	EPI637905	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG173/2013	avian_flu	EPI637912	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG174/2013	avian_flu	EPI637919	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG176/2013	avian_flu	EPI637926	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG177/2013	avian_flu	EPI637933	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG178/2013	avian_flu	EPI637940	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG179/2013	avian_flu	EPI637947	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG18/2013	avian_flu	EPI636793	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG180/2013	avian_flu	EPI637954	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG181/2013	avian_flu	EPI637961	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG182/2013	avian_flu	EPI637968	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG183/2013	avian_flu	EPI637975	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG184/2013	avian_flu	EPI637982	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG185/2013	avian_flu	EPI637989	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG186/2013	avian_flu	EPI637996	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG187/2013	avian_flu	EPI638003	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG188/2013	avian_flu	EPI638010	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG189/2013	avian_flu	EPI638017	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG19/2013	avian_flu	EPI636803	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG190/2013	avian_flu	EPI638024	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG191/2013	avian_flu	EPI638031	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG192/2013	avian_flu	EPI638038	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG193/2013	avian_flu	EPI638045	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG194/2013	avian_flu	EPI638052	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG195/2013	avian_flu	EPI638059	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG196/2013	avian_flu	EPI638066	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG197/2013	avian_flu	EPI638073	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG198/2013	avian_flu	EPI638080	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG199/2013	avian_flu	EPI638087	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG20/2013	avian_flu	EPI636811	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG200/2013	avian_flu	EPI638094	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG201/2013	avian_flu	EPI638101	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG202/2013	avian_flu	EPI638108	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG21/2013	avian_flu	EPI636818	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG22/2013	avian_flu	EPI636825	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG23/2013	avian_flu	EPI636832	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG24/2013	avian_flu	EPI636839	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG25/2013	avian_flu	EPI636846	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG26/2013	avian_flu	EPI636855	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG27/2013	avian_flu	EPI636862	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG28/2013	avian_flu	EPI636869	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG29/2013	avian_flu	EPI636876	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG30/2013	avian_flu	EPI636883	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG31/2013	avian_flu	EPI636891	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG32/2013	avian_flu	EPI636899	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG33/2013	avian_flu	EPI636906	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG34/2013	avian_flu	EPI636913	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG35/2013	avian_flu	EPI636920	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG36/2013	avian_flu	EPI636929	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG37/2013	avian_flu	EPI636936	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG38/2013	avian_flu	EPI636943	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG39/2013	avian_flu	EPI636950	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG40/2013	avian_flu	EPI636957	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG41/2013	avian_flu	EPI636964	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG42/2013	avian_flu	EPI636971	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG43/2013	avian_flu	EPI636978	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG44/2013	avian_flu	EPI636985	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG45/2013	avian_flu	EPI636992	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG46/2013	avian_flu	EPI636999	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG47/2013	avian_flu	EPI637006	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG48/2013	avian_flu	EPI637013	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG49/2013	avian_flu	EPI637020	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG50/2013	avian_flu	EPI637027	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG51/2013	avian_flu	EPI637034	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG52/2013	avian_flu	EPI637041	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG53/2013	avian_flu	EPI637048	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG54/2013	avian_flu	EPI637055	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG55/2013	avian_flu	EPI637062	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG56/2013	avian_flu	EPI637069	2015-08-27	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG57/2013	avian_flu	EPI637076	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG58/2013	avian_flu	EPI637083	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG59/2013	avian_flu	EPI637090	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG60/2013	avian_flu	EPI637097	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG61/2013	avian_flu	EPI637104	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG62/2013	avian_flu	EPI637111	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG63/2013	avian_flu	EPI637118	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG64/2013	avian_flu	EPI637125	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG65/2013	avian_flu	EPI637132	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG66/2013	avian_flu	EPI637139	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG67/2013	avian_flu	EPI637146	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG68/2013	avian_flu	EPI637153	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG69/2013	avian_flu	EPI637160	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG70/2013	avian_flu	EPI637168	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG71/2013	avian_flu	EPI637176	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG72/2013	avian_flu	EPI637183	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG73/2013	avian_flu	EPI637190	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG74/2013	avian_flu	EPI637197	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG75/2013	avian_flu	EPI637204	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG76/2013	avian_flu	EPI637223	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG77/2013	avian_flu	EPI637230	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG78/2013	avian_flu	EPI637237	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG79/2013	avian_flu	EPI637244	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG80/2013	avian_flu	EPI637251	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG81/2013	avian_flu	EPI637258	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG82/2013	avian_flu	EPI637267	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG83/2013	avian_flu	EPI637274	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG84/2013	avian_flu	EPI637281	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG85/2013	avian_flu	EPI637289	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG86/2013	avian_flu	EPI637296	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG87/2013	avian_flu	EPI637304	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG88/2013	avian_flu	EPI637311	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG89/2013	avian_flu	EPI637318	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG90/2013	avian_flu	EPI637325	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG91/2013	avian_flu	EPI637332	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG92/2013	avian_flu	EPI637339	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG93/2013	avian_flu	EPI637346	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG94/2013	avian_flu	EPI637354	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG95/2013	avian_flu	EPI637361	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG96/2013	avian_flu	EPI637368	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG97/2013	avian_flu	EPI637375	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG98/2013	avian_flu	EPI637382	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1-YK_RG99/2013	avian_flu	EPI637389	2013-XX-XX	china	china	anhui	anhui	human	other_database_import
A/Anhui/1/2013	avian_flu	EPI439504	2013-03-20	china	china	anhui	anhui	human	who_chinese_national_influenza_center
